sample_id,component,material,load_case,thickness_mm,cross_section_area_cm2,applied_load_kN,load_factor_g,von_mises_stress_MPa,effective_stress_MPa,stress_concentration_Kt,stress_ratio_R,strain,deformation_mm,elastic_modulus_GPa,yield_strength_MPa,density_g_cm3,temperature_C,fatigue_cycles,fatigue_limit_MPa,crack_length_mm,crack_growth_rate,cumulative_damage_index,safety_margin,utilization_ratio,structural_health_score,rul_cycles,failure_label,risk_class
1,Rib_Section,Al_7075-T6,Hard_Landing,4.12,70.4,50.74,1.987,5.0,12.5,2.5,-0.803,1e-05,0.001,71.7,503,2.81,-34.0,6566,159,0.0076,1.154e-09,0.0,10.0,0.0249,87.32,49999,0,Low
2,Tail_Assembly,Al_7075-T6,Gust_Load,12.0,115.59,248.49,0.608,23.28,34.92,1.5,-0.078,0.000362,0.0341,71.7,503,2.81,108.9,54749,159,0.7633,1.3941e-08,0.0,10.0,0.0694,85.86,49998,0,Low
3,Engine_Mount,CFRP,Pressurization,8.51,78.27,538.46,0.848,73.89,147.78,2.0,-0.016,0.000484,0.1366,135.0,600,1.6,282.4,11917,300,50.0,5.2276303e-05,0.0,4.06,0.2463,63.39,49997,0,Medium
4,Rib_Section,Al_2024-T3,Hard_Landing,7.77,55.6,500.72,1.587,117.82,235.63,2.0,0.287,0.001411,0.5136,73.1,345,2.78,6.2,1443,138,50.0,4.6706746e-05,0.0008,1.464,0.683,64.84,49961,0,Medium
5,Landing_Gear,Al_2024-T3,Gust_Load,18.46,87.38,542.42,2.825,63.1,126.19,2.0,0.645,0.000847,0.5408,73.1,345,2.78,116.3,48677,138,50.0,8.279968e-06,0.0021,2.734,0.3658,64.23,49893,0,Medium
6,Skin_Panel,CFRP,1g_Level_Flight,12.03,99.83,612.52,3.199,61.51,153.77,2.5,0.651,0.000437,0.001,135.0,600,1.6,96.8,34955,300,35.4476,1.014091e-06,0.0001,3.902,0.2563,66.54,49996,0,Medium
7,Engine_Mount,Steel_4340,1g_Level_Flight,10.76,72.91,25.99,3.38,9.99,14.99,1.5,0.149,1.7e-05,0.0421,205.0,470,7.85,151.7,24631,413,0.0053,2.17e-10,0.0,10.0,0.0319,87.03,49999,0,Low
8,Engine_Mount,Al_7075-T6,2.5g_Pull_Up,33.9,105.26,98.27,-0.166,5.0,7.5,1.5,0.36,7.5e-05,0.001,71.7,503,2.81,163.9,23667,159,0.0086,3.62e-10,0.0,10.0,0.0149,93.29,49999,0,Low
9,Rib_Section,Al_7075-T6,Pressurization,25.11,64.18,311.97,1.662,22.73,56.82,2.5,0.178,0.000152,0.001,71.7,503,2.81,88.3,9981,159,4.2496,4.25768e-07,0.0,8.853,0.113,91.34,49999,0,Low
10,Fuselage_Frame,CFRP,Gust_Load,5.53,100.45,140.08,-0.998,9.26,9.26,1.0,-0.705,0.000159,0.2421,135.0,600,1.6,-42.7,31221,300,0.0175,5.62e-10,0.0,10.0,0.0154,95.7,49999,0,Low
11,Landing_Gear,CFRP,2.5g_Pull_Up,13.43,114.48,73.27,3.311,22.48,67.44,3.0,0.7,0.000201,0.0339,135.0,600,1.6,94.1,5472,300,8.4142,1.537684e-06,0.0,8.896,0.1124,76.46,49999,0,Low
12,Rib_Section,Steel_4340,2.5g_Pull_Up,28.3,62.64,548.41,2.751,106.05,159.07,1.5,0.52,0.000633,0.6114,205.0,470,7.85,106.8,6661,413,50.0,7.7061362e-05,0.0,2.955,0.3385,63.7,49998,0,Medium
13,Landing_Gear,Inconel_718,Ground_Taxi,24.04,74.58,694.88,-0.862,64.99,64.99,1.0,-0.824,0.000261,0.8269,200.0,1034,8.19,-50.8,3650,620,0.9139,2.50372e-07,0.0,10.0,0.0629,100.0,49999,0,Low
14,Landing_Gear,Al_2024-T3,Hard_Landing,3.44,75.09,642.21,0.988,95.52,143.28,1.5,0.774,0.001341,0.5262,73.1,345,2.78,-16.5,7740,138,2.7663,3.57399e-07,0.0018,2.408,0.4153,85.03,49911,0,Low
15,Skin_Panel,Ti-6Al-4V,Neg1g_Push_Over,31.36,94.87,696.31,-0.888,40.63,60.94,1.5,0.518,0.000162,0.001,113.8,880,4.43,-50.9,3991,510,2.9629,7.42393e-07,0.0,10.0,0.0693,94.37,49999,0,Low
16,Engine_Mount,Inconel_718,Ground_Taxi,12.06,99.64,569.32,3.297,64.02,64.02,1.0,0.61,0.000228,0.4073,200.0,1034,8.19,209.3,6228,620,7.1645,1.150373e-06,0.0,10.0,0.0619,86.5,49999,0,Low
17,Tail_Assembly,Al_2024-T3,Pressurization,22.82,8.13,627.69,-0.796,777.93,1944.82,2.5,-0.061,0.010496,3.5861,73.1,345,2.78,38.5,17586,138,50.0,0.007316541713,5.0,0.177,5.0,18.94,0,1,Critical
18,Skin_Panel,Al_7075-T6,Hard_Landing,20.95,89.34,238.29,3.396,5.0,10.0,2.0,0.63,8.7e-05,0.1532,71.7,503,2.81,72.8,8434,159,0.0006,7.6e-11,0.0,10.0,0.0199,91.65,49999,0,Low
